Zeit;Weg;Kraft;Länge;dL_ORG
0,02;0,07;0,10;0,00;0,00
0,04;0,07;0,10;0,00;0,00
0,06;0,07;0,10;0,00;0,00
0,08;0,07;0,11;0,00;0,00
0,10;0,07;0,11;0,00;0,00
0,12;0,07;0,15;0,00;0,00
0,14;0,07;0,17;0,00;0,00
0,16;0,07;0,19;0,00;0,00
0,18;0,07;0,17;0,00;0,00
0,20;0,08;0,19;0,00;0,00
0,22;0,09;0,18;0,00;0,00
0,24;0,09;0,19;0,01;0,00
0,26;0,10;0,21;0,01;0,01
0,28;0,11;0,28;0,01;0,01
0,30;0,11;0,27;0,02;0,01
0,32;0,12;0,29;0,02;0,02
0,34;0,12;0,34;0,02;0,02
0,36;0,13;0,34;0,03;0,03
0,38;0,13;0,36;0,04;0,04
0,40;0,14;0,41;0,05;0,05
0,42;0,15;0,42;0,05;0,05
0,44;0,15;0,44;0,06;0,06
0,46;0,16;0,49;0,07;0,07
0,48;0,16;0,50;0,07;0,07
0,50;0,17;0,52;0,08;0,08
0,52;0,18;0,57;0,10;0,09
0,54;0,18;0,58;0,11;0,10
0,56;0,19;0,60;0,11;0,10
0,58;0,19;0,64;0,12;0,11
0,60;0,20;0,65;0,13;0,13
0,62;0,20;0,69;0,13;0,13
0,64;0,21;0,74;0,14;0,14
0,66;0,22;0,75;0,15;0,15
0,68;0,22;0,78;0,15;0,15
0,70;0,23;0,83;0,17;0,16
0,72;0,23;0,84;0,18;0,18
0,74;0,24;0,87;0,19;0,19
0,76;0,25;0,93;0,19;0,19
0,78;0,25;0,94;0,21;0,20
0,80;0,26;0,97;0,22;0,22
0,82;0,26;1,03;0,22;0,22
0,84;0,27;1,04;0,23;0,23
0,86;0,27;1,08;0,24;0,24
0,88;0,28;1,13;0,25;0,25
0,90;0,29;1,14;0,25;0,25
0,92;0,29;1,18;0,26;0,26
0,94;0,30;1,23;0,27;0,27
0,96;0,30;1,24;0,27;0,27
0,98;0,31;1,28;0,28;0,28
1,00;0,32;1,33;0,30;0,29
1,02;0,32;1,34;0,31;0,30
1,04;0,33;1,38;0,31;0,30
1,06;0,33;1,43;0,32;0,32
1,08;0,34;1,44;0,33;0,33
1,10;0,34;1,48;0,33;0,33
1,12;0,35;1,53;0,34;0,34
1,14;0,36;1,54;0,35;0,35
1,16;0,36;1,58;0,36;0,36
1,18;0,37;1,62;0,36;0,36
1,20;0,37;1,63;0,37;0,37
