Zeit;Weg;Kraft;Länge;dL_ORG
0,02;0,07;0,10;0,00;0,00
0,04;0,07;0,10;0,00;0,00
0,06;0,07;0,10;0,00;0,00
0,08;0,07;0,10;0,00;0,00
0,10;0,07;0,10;0,00;0,00
0,12;0,07;0,10;0,00;0,00
0,14;0,07;0,10;0,00;0,00
0,16;0,07;0,10;0,00;0,00
0,18;0,07;0,10;0,00;0,00
0,20;0,07;0,10;0,00;0,00
0,22;0,07;0,10;0,00;0,00
0,24;0,07;0,10;0,00;0,00
0,26;0,07;0,11;0,00;0,00
0,28;0,07;0,11;0,00;0,00
0,30;0,07;0,11;0,00;0,00
0,32;0,07;0,11;0,00;0,00
0,34;0,07;0,11;0,00;0,00
0,36;0,07;0,11;0,00;0,00
0,38;0,07;0,11;0,00;0,00
0,40;0,08;0,11;0,00;0,00
0,42;0,08;0,11;0,00;0,00
0,44;0,08;0,11;0,00;0,00
0,46;0,08;0,11;0,00;0,00
0,48;0,08;0,11;0,00;0,00
0,50;0,08;0,11;0,00;0,00
0,52;0,08;0,11;0,00;0,00
0,54;0,08;0,11;0,00;0,00
0,56;0,08;0,11;0,00;0,00
0,58;0,08;0,11;0,00;0,00
0,60;0,08;0,11;0,00;0,00
0,62;0,08;0,11;0,00;0,00
0,64;0,08;0,11;0,00;0,00
0,66;0,08;0,11;0,00;0,00
0,68;0,08;0,11;0,00;0,00
0,70;0,08;0,11;0,00;0,00
0,72;0,08;0,11;0,00;0,00
0,74;0,08;0,11;0,00;0,00
0,76;0,08;0,11;0,00;0,00
0,78;0,08;0,11;0,00;0,00
0,80;0,08;0,11;0,00;0,00
0,82;0,08;0,11;0,00;0,00
0,84;0,08;0,11;0,00;0,00
0,86;0,08;0,11;0,00;0,00
0,88;0,08;0,12;0,00;0,00
0,90;0,08;0,11;0,00;0,00
0,92;0,08;0,12;0,00;0,00
0,94;0,08;0,12;0,00;-0,01
0,96;0,08;0,11;0,00;-0,01
0,98;0,08;0,11;0,00;-0,01
1,00;0,08;0,11;0,00;-0,01
1,02;0,08;0,11;0,00;-0,01
1,04;0,08;0,11;0,00;-0,01
1,06;0,08;0,12;0,00;-0,01
1,08;0,08;0,12;0,00;-0,01
1,10;0,08;0,12;0,00;-0,01
1,12;0,08;0,12;0,00;-0,01
1,14;0,08;0,12;0,00;-0,01
1,16;0,08;0,12;0,00;-0,01
1,18;0,08;0,12;0,00;-0,01
1,20;0,08;0,12;0,00;-0,01
