Zeit;Weg;Kraft;Länge;dL_ORG
0,02;0,13;0,09;0,00;0,00
0,04;0,13;0,11;0,00;0,00
0,06;0,13;0,12;0,00;0,00
0,08;0,13;0,12;0,00;0,00
0,10;0,13;0,12;0,00;0,00
0,12;0,13;0,12;0,00;0,00
0,14;0,13;0,12;0,00;0,00
0,16;0,13;0,12;0,00;0,00
0,18;0,13;0,13;0,00;0,00
0,20;0,13;0,13;0,00;0,00
0,22;0,14;0,14;0,00;0,00
0,24;0,14;0,14;0,00;0,00
0,26;0,14;0,14;0,00;-0,01
0,28;0,14;0,14;0,00;-0,01
0,30;0,14;0,14;0,00;-0,01
0,32;0,14;0,15;0,00;-0,01
0,34;0,14;0,14;0,00;-0,01
0,36;0,14;0,14;0,00;-0,01
0,38;0,14;0,14;0,00;-0,01
0,40;0,14;0,14;0,00;-0,01
0,42;0,15;0,13;0,00;-0,01
0,44;0,15;0,13;0,00;-0,02
0,46;0,15;0,13;0,00;-0,02
0,48;0,15;0,13;0,00;-0,02
0,50;0,15;0,13;0,00;-0,02
0,52;0,15;0,13;0,00;-0,02
0,54;0,15;0,13;0,00;-0,03
0,56;0,15;0,14;0,00;-0,03
0,58;0,15;0,14;0,00;-0,03
0,60;0,15;0,14;0,00;-0,04
0,62;0,16;0,14;0,00;-0,04
0,64;0,16;0,14;0,00;-0,04
0,66;0,16;0,14;0,00;-0,04
0,68;0,16;0,14;0,00;-0,04
0,70;0,16;0,14;0,00;-0,05
0,72;0,16;0,14;0,00;-0,05
0,74;0,16;0,14;0,00;-0,05
0,76;0,16;0,13;0,00;-0,05
0,78;0,16;0,13;0,00;-0,05
0,80;0,17;0,13;0,00;-0,05
0,82;0,17;0,13;0,00;-0,06
0,84;0,17;0,13;0,00;-0,06
0,86;0,17;0,12;0,00;-0,06
0,88;0,17;0,12;0,00;-0,06
0,90;0,17;0,12;0,00;-0,06
0,92;0,17;0,13;0,00;-0,06
0,94;0,17;0,13;0,00;-0,06
