Zeit;Weg;Kraft;Länge;dL_ORG
0,02;0,62;0,06;0,13;0,00
0,04;0,62;0,06;0,13;0,00
0,06;0,62;0,06;0,13;0,00
0,08;0,62;0,06;0,13;-0,01
0,10;0,62;0,06;0,13;-0,01
0,12;0,62;0,06;0,13;-0,01
0,14;0,62;0,06;0,12;-0,01
0,16;0,62;0,06;0,12;-0,01
0,18;0,62;0,06;0,12;-0,01
0,20;0,62;0,06;0,12;-0,01
0,22;0,62;0,06;0,13;-0,01
0,24;0,62;0,06;0,12;-0,01
0,26;0,62;0,06;0,12;-0,01
0,28;0,62;0,06;0,12;-0,01
0,30;0,62;0,06;0,12;-0,02
0,32;0,62;0,05;0,12;-0,02
0,34;0,62;0,05;0,12;-0,02
0,36;0,62;0,05;0,12;-0,02
0,38;0,63;0,05;0,12;-0,01
0,40;0,63;0,05;0,12;-0,01
0,42;0,63;0,05;0,12;-0,01
0,44;0,63;0,06;0,13;-0,01
0,46;0,63;0,06;0,13;0,00
0,48;0,63;0,06;0,13;0,00
0,50;0,63;0,06;0,13;0,00
0,52;0,63;0,06;0,13;-0,01
0,54;0,63;0,07;0,13;0,00
0,56;0,63;0,06;0,14;0,00
0,58;0,63;0,07;0,14;0,00
0,60;0,63;0,07;0,14;0,00
0,62;0,63;0,07;0,14;0,01
0,64;0,63;0,07;0,15;0,01
0,66;0,63;0,07;0,15;0,01
0,68;0,63;0,07;0,15;0,01
0,70;0,63;0,07;0,14;0,01
0,72;0,63;0,08;0,14;0,01
0,74;0,63;0,08;0,14;0,01
0,76;0,63;0,08;0,14;0,01
0,78;0,63;0,08;0,15;0,01
0,80;0,63;0,08;0,15;0,01
0,82;0,63;0,08;0,15;0,01
0,84;0,63;0,08;0,14;0,01
0,86;0,63;0,08;0,14;0,01
0,88;0,63;0,08;0,14;0,01
0,90;0,63;0,08;0,14;0,00
0,92;0,63;0,08;0,14;0,00
0,94;0,63;0,08;0,14;0,00
0,96;0,63;0,09;0,14;0,00
0,98;0,63;0,09;0,14;0,00
1,00;0,64;0,09;0,14;0,00
1,02;0,64;0,08;0,14;0,00
1,04;0,64;0,08;0,14;0,00
1,06;0,64;0,08;0,13;0,00
1,08;0,64;0,08;0,13;0,00
1,10;0,64;0,08;0,13;-0,01
1,12;0,64;0,09;0,13;-0,01
1,14;0,64;0,09;0,13;-0,01
1,16;0,64;0,08;0,13;-0,01
